,DALYsPC,DALYsPC,DALYsPC,DALYsPC,DALYsPC,DALYsPC,DALYsPC,DALYsPC,DALYsPC,DALYsPC,DALYsPC,DALYsPC,DALYsPC,DALYsPC,DALYsPC,DALYsPC,DALYsPC,DALYsPC,DALYsPC,DALYsPC
,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024
,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria
,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total
,Million per million,Million per million,Million per million,Million per million,Million per million,Million per million,Million per million,Million per million,Million per million,Million per million,Million per million,Million per million,Million per million,Million per million,Million per million,Million per million,Million per million,Million per million,Million per million,Million per million
,Base,FullSan_2030,FullSan_2050,FullWat_2030,FullWat_2050,FullWatSan_2,SanInc_0_5x,SanInc_0_95x,SanInc_0_9x,SanInc_1_05x,SanInc_1_1x,SanInc_2x,SanitSpend_0,SanitSpend_2,WatInc_0_5x,WatInc_0_95x,WatInc_0_9x,WatInc_1_05x,WatInc_1_1x,WatInc_2x
 2063,          0.003,          0.003,          0.003,          0.003,          0.003,          0.002,          0.003,          0.003,          0.003,          0.003,          0.003,          0.003,               ,               ,          0.003,          0.003,          0.003,          0.003,          0.003,          0.003
 2064,          0.003,          0.003,          0.003,          0.003,          0.003,          0.002,          0.003,          0.003,          0.003,          0.003,          0.003,          0.003,               ,               ,          0.003,          0.003,          0.003,          0.003,          0.003,          0.003
 2065,          0.003,          0.002,          0.003,          0.003,          0.003,          0.002,          0.003,          0.003,          0.003,          0.003,          0.003,          0.003,               ,               ,          0.003,          0.003,          0.003,          0.003,          0.003,          0.003
 2066,          0.003,          0.002,          0.002,          0.002,          0.002,          0.002,          0.003,          0.003,          0.003,          0.003,          0.003,          0.003,               ,               ,          0.003,          0.003,          0.003,          0.003,          0.003,          0.003
 2067,          0.003,          0.002,          0.002,          0.002,          0.002,          0.002,          0.003,          0.003,          0.003,          0.003,          0.003,          0.002,               ,               ,          0.003,          0.003,          0.003,          0.003,          0.003,          0.003
 2068,          0.002,          0.002,          0.002,          0.002,          0.002,          0.002,          0.003,          0.003,          0.003,          0.002,          0.002,          0.002,               ,               ,          0.003,          0.003,          0.003,          0.002,          0.002,          0.002
 2069,          0.002,          0.002,          0.002,          0.002,          0.002,          0.002,          0.003,          0.002,          0.002,          0.002,          0.002,          0.002,               ,               ,          0.003,          0.002,          0.002,          0.002,          0.002,          0.002
 2070,          0.002,          0.002,          0.002,          0.002,          0.002,          0.002,          0.002,          0.002,          0.002,          0.002,          0.002,          0.002,               ,               ,          0.002,          0.002,          0.002,          0.002,          0.002,          0.002
 2071,          0.002,          0.002,          0.002,          0.002,          0.002,          0.002,          0.002,          0.002,          0.002,          0.002,          0.002,          0.002,               ,               ,          0.002,          0.002,          0.002,          0.002,          0.002,          0.002
 2072,          0.002,          0.002,          0.002,          0.002,          0.002,          0.002,          0.002,          0.002,          0.002,          0.002,          0.002,          0.002,               ,               ,          0.002,          0.002,          0.002,          0.002,          0.002,          0.002
 2073,          0.002,          0.002,          0.002,          0.002,          0.002,          0.002,          0.002,          0.002,          0.002,          0.002,          0.002,          0.002,               ,               ,          0.002,          0.002,          0.002,          0.002,          0.002,          0.002
 2074,          0.002,          0.002,          0.002,          0.002,          0.002,          0.001,          0.002,          0.002,          0.002,          0.002,          0.002,          0.002,               ,               ,          0.002,          0.002,          0.002,          0.002,          0.002,          0.002
