,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt
,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024
,,,,,,,,,,,,,,,,,,,,
,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total
,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent
,Base,FullSan_2030,FullSan_2050,FullWat_2030,FullWat_2050,FullWatSan_2,SanInc_0_5x,SanInc_0_95x,SanInc_0_9x,SanInc_1_05x,SanInc_1_1x,SanInc_2x,SanitSpend_0,SanitSpend_2,WatInc_0_5x,WatInc_0_95x,WatInc_0_9x,WatInc_1_05x,WatInc_1_1x,WatInc_2x
 2062,          87.39,          99.89,          99.87,          88.17,          87.93,          99.89,          82.37,          87.02,          86.64,          87.73,          88.07,          91.27,               ,               ,          87.05,          87.37,          87.34,          87.41,          87.43,          87.63
 2063,          88.03,          99.89,          99.87,          88.80,          88.57,          99.88,          83.16,          87.68,          87.31,          88.37,          88.69,          91.73,               ,               ,          87.69,          88.01,          87.99,          88.05,          88.07,          88.28
 2064,          88.68,          99.88,          99.87,          89.42,          89.20,          99.88,          83.97,          88.34,          87.99,          89.00,          89.31,          92.19,               ,               ,          88.34,          88.66,          88.64,          88.70,          88.72,          88.91
 2065,          89.32,          99.86,          99.87,          90.04,          89.83,          99.87,          84.79,          89.00,          88.66,          89.63,          89.92,          92.63,               ,               ,          88.99,          89.30,          89.28,          89.34,          89.36,          89.55
 2066,          89.95,          99.87,          99.87,          90.66,          90.46,          99.87,          85.61,          89.65,          89.33,          90.25,          90.53,          93.07,               ,               ,          89.64,          89.94,          89.92,          89.97,          89.99,          90.18
 2067,          90.59,          99.86,          99.86,          91.29,          91.08,          99.87,          86.44,          90.30,          89.99,          90.87,          91.14,          93.50,               ,               ,          90.29,          90.57,          90.55,          90.61,          90.63,          90.81
 2068,          91.22,          99.86,          99.86,          91.90,          91.71,          99.87,          87.28,          90.94,          90.66,          91.49,          91.74,          93.93,               ,               ,          90.93,          91.20,          91.18,          91.24,          91.26,          91.43
 2069,          91.57,          99.88,          99.88,          92.24,          92.05,          99.87,          87.72,          91.30,          91.02,          91.83,          92.08,          94.16,               ,               ,          91.28,          91.55,          91.54,          91.59,          91.61,          91.79
 2070,          91.90,          99.87,          99.87,          92.55,          92.37,          99.87,          88.14,          91.64,          91.36,          92.15,          92.39,          94.36,               ,               ,          91.61,          91.88,          91.86,          91.92,          91.94,          92.11
 2071,          92.22,          99.87,          99.87,          92.85,          92.67,          99.86,          88.54,          91.97,          91.70,          92.47,          92.70,          94.56,               ,               ,          91.94,          92.20,          92.19,          92.24,          92.26,          92.42
 2072,          92.52,          99.87,          99.86,          93.14,          92.97,          99.86,          88.93,          92.28,          92.02,          92.76,          92.99,          94.75,               ,               ,          92.25,          92.51,          92.49,          92.54,          92.56,          92.72
 2073,          92.82,          99.86,          99.86,          93.41,          93.25,          99.86,          89.31,          92.58,          92.33,          93.05,          93.27,          94.94,               ,               ,          92.55,          92.80,          92.78,          92.83,          92.85,          93.01
 2074,          93.10,          99.86,          99.86,          93.67,          93.51,          99.86,          89.67,          92.86,          92.62,          93.32,          93.53,          95.11,               ,               ,          92.84,          93.08,          93.07,          93.11,          93.13,          93.28
 2075,          93.37,          99.86,          99.86,          93.93,          93.77,          99.86,          90.02,          93.14,          92.90,          93.59,          93.79,          95.28,               ,               ,          93.12,          93.35,          93.34,          93.38,          93.40,          93.55
 2076,          93.63,          99.86,          99.86,          94.17,          94.02,          99.86,          90.36,          93.41,          93.18,          93.84,          94.04,          95.44,               ,               ,          93.39,          93.61,          93.60,          93.64,          93.66,          93.80
 2077,          93.88,          99.86,          99.86,          94.40,          94.26,          99.86,          90.69,          93.66,          93.44,          94.08,          94.27,          95.60,               ,               ,          93.65,          93.86,          93.85,          93.89,          93.91,          94.05
 2078,          94.12,          99.87,          99.87,          94.63,          94.49,          99.86,          91.01,          93.91,          93.69,          94.32,          94.50,          95.75,               ,               ,          93.89,          94.10,          94.09,          94.13,          94.15,          94.29
 2079,          94.35,          99.87,          99.87,          94.85,          94.71,          99.86,          91.31,          94.15,          93.94,          94.54,          94.72,          95.90,               ,               ,          94.13,          94.34,          94.32,          94.36,          94.38,          94.51
 2080,          94.57,          99.87,          99.87,          95.05,          94.92,          99.86,          91.61,          94.38,          94.17,          94.76,          94.93,          96.04,               ,               ,          94.36,          94.56,          94.55,          94.58,          94.60,          94.73
 2081,          94.78,          99.87,          99.87,          95.25,          95.12,          99.86,          91.89,          94.59,          94.39,          94.96,          95.13,          96.17,               ,               ,          94.58,          94.77,          94.76,          94.80,          94.81,          94.94
 2082,          94.98,          99.87,          99.87,          95.44,          95.32,          99.86,          92.16,          94.80,          94.61,          95.16,          95.32,          96.30,               ,               ,          94.79,          94.97,          94.96,          95.00,          95.01,          95.14
 2083,          95.18,          99.88,          99.88,          95.62,          95.50,          99.86,          92.42,          95.00,          94.81,          95.35,          95.51,          96.43,               ,               ,          94.99,          95.17,          95.16,          95.19,          95.21,          95.33
 2084,          95.37,          99.88,          99.88,          95.80,          95.68,          99.86,          92.67,          95.19,          95.01,          95.53,          95.69,          96.55,               ,               ,          95.18,          95.35,          95.34,          95.38,          95.39,          95.51
